prefix,title,language,abstract,de:abstract,keywords,de:keywords,doi,issueDatepublished,issueVolume,issueNumber,issueYear,issueTitle,sectionTitle,sectionAbbrev,pages,articleSeq,authorFirstname1,authorLastname1,authorFirstname2,authorLastname2,authorFirstname3,authorLastname3,authorFirstname4,authorLastname4,authorFirstname5,authorLastname5,authorFirstname6,authorLastname6,authorFirstname7,authorLastname7,authorFirstname8,authorLastname8,authorFirstname9,authorLastname9,authorFirstname10,authorLastname10,authorFirstname11,authorLastname11,file1,fileLabel1,fileGenre1,fileLocale1
,1 Aspekte gemeinsamer Agrarpolitik 2000,en_US,"Agricultural Markets at the Turn of 2000/2001 (1) EU agricultural policy discussion focussed on two issues in 2000: EU enlargement and WTO negotiations. The approaching - yet unknown - date of Eastern enlargement is alerting EU farmers who fear growing competition to endanger their protected markets. Those fears are, however, countered by hinting to both, the impediments on the path of East European producers struggling for higher efficiency and the chances offering themselves to West European entrepreneurs on enlarged markets. Ongoing preparations for another round of agricultural trade negotiations give rise to highlight the weaknesses of the UR Agreement on Agriculture. Thereafter the positions of WTO member groupings are contrasted for better understanding the difficulties which the negotiations are likely to run into later this year.",,,,,2001-01-01,50,1,2001,,Articles,ART,,1,Dirk,Manegold,,,,,,,,,,,,,,,,,,,,,2_org.pdf,PDF,Article Text,en
,"2 Die Märkte für Getreide, Ölsaaten und Kartoffeln",en_US,"(2) World cereals production in 2000 fell short of the 1999 harvest and most exporting countries ran down stocks. Nevertheless, key world grain prices kept on falling. More and more, genetically modified organisms become an issue to international trade in cereals and oilseeds since importing countries are getting concerned about potential health or environmental risks. In spite of periodically or regionally adverse weather conditions the cereals harvest of EU member countries finally turned out to be the biggest ever - almost 24 mt above domestic use. Due to the price reduction through CAP reform (Agenda 2000), the weak Euro, and less ample supplies in several exporting or importing countries EU producers expected improved export conditions. At the same time, however, EU imports started to increase for matching particular quality requirements of the domestic processing industry.",,,,,2001-01-01,50,1,2001,,Articles,ART,,2,Friedrich,Uhlmann,,,,,,,,,,,,,,,,,,,,,3_org.pdf,PDF,Article Text,en
,3 Der Markt für Zucker,en_US,(3) The world sugar market remained well supplied in 2000 although there was a short lived speculation for higher prices released by exaggerated reports about eventual crop shortfalls. Low world prices required the EU Commission to make fine-tuned cuts into national sugar quotas for exactly complying with WTO export restric-tions. The Council of Farm Ministers agreed to roll on the Common Market Organization without making deci-sive changes while medium term prospects signal world supplies to further outpace demand.,,,,,2001-01-01,50,1,2001,,Articles,ART,,3,Ulrich,Sommer,,,,,,,,,,,,,,,,,,,,,4_org.pdf,PDF,Article Text,en
,4 Der Markt für Milch,en_US,"(4) Driven by demand expansion and favourable prices world dairy production continued to rise and international trade in milk products slowly recovered from the consequences of the various economic crises in 1998-99. Assuming continued economic growth, demand and prices are likely to increase. Extremely low stocks and scarce market supplies of skimmed milk powder in the EU caused the Commission to reduce the level of subsidies spent on milk powder for calf raising. Butter stocks, however, remained high and EU exports failed to improve due to sluggish demand. Export subsidies on cheese were repeatedly reduced reflecting both firm demand and the weak Euro. With regard to milk production quotas, several EU member countries made special arrangements for allotting parts of the additional quotas to their producers while others introduced some kind of regulated quota exchange. The latter is expected not only to better bring together quota demand and supply but also to avoid transactions at extremely high prices.",,,,,2001-01-01,50,1,2001,,Articles,ART,,4,Petra,Salamon,,,,,,,,,,,,,,,,,,,,,5_org.pdf,PDF,Article Text,en
,5 Die Märkte für Schlachtvieh und Fleisch,en_US,"(5) Based on estimated head numbers world bovine meat production is expected to show a slight dent in 2001 but any prognosis of developments in the world beef market crucially depends on the outcome of regional difficulties as e.g. animal diseases or economic crises. Following the detection of growing numbers of BSE-infected animals in several continental member states the EU beef and cattle markets are at present badly affected by a new scare. Prices reflect a steep fall of consumer confidence and governments hastened to demonstrate activities in trying to eradicate the dangerous disease. Meat and bone meals were totally banned from animal feeding rations and destruction of some two million untested carcasses is envisaged. World pig meat production is on the whole rising while EU production may show a 1 % reduction. However, EU prices, demand and net trade will strongly depend on developments in the beef market.",,,,,2001-01-01,50,1,2001,,Articles,ART,,5,Friedrich-Wilhelm,Probst,,,,,,,,,,,,,,,,,,,,,6_org.pdf,PDF,Article Text,en
,6 Die Märkte für Eier und Gefügelfleisch,en_US,"(6) Animal welfare and environmental considerations are slowly gaining ground with regard to egg and poultry production. They are no longer a matter of tiny consumer groups in the more affluent societies but rather begin to affect big industries, international trade and world trade policy (WTO). Nevertheless, the vast majority of producing countries are concerned primarily about increasing production in order to improve human welfare.",,,,,2001-01-01,50,1,2001,,Articles,ART,,6,Karl,Frenz,,,,,,,,,,,,,,,,,,,,,7_org.pdf,PDF,Article Text,en
,Regionale Milchquotenbörsen - der Einstieg in den Ausstieg der Mengensteuerung?,de_DE,"Die Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2001-03-01,50,2,2001,,Articles,ART,,1,Arno,Henze,,,,,,,,,,,,,,,,,,,,,8_org.pdf,PDF,Article Text,de
,Market power of selected German food and beverage exporters on international markets,en_US,"In this paper we applied two well known empirical models, the 'pricing-to-market' and the 'residual demand elasticity' approach, to test for market power of German food and beverage exporters on the main international markets (beer, cocoa powder, chocolate, and sugar confectionary). We compared the estimation results and considered the time series properties of the model variables, which both had an impact on the conclusions drawn from the model estimates.On many international food markets conditions for the existence of market power are fulfilled, such as concentrated supply and/or demand structures, or specific product qualities. For the products under study we have shown that the supply side is highly concentrated. For instance, for beer, cocoa powder, chocolate, and sugar confectionary the six biggest importers hold a significant share of total imports of the respective destinations. In addition, many products are well known for their specific quality characteristics.The 'pricing-to-market' model identifies market power by the estimation of the exchange rate transmission elasticity. A significant transmission elasticity above minus one indicates the use of market power. The 'residual demand elasticity' approach signalizes market power if the estimates for the elasticity lie in the range of minus one to less than infinity. Both frameworks utilize the effects of exchange rate variations on export volumes and prices.On four markets, US and Canadian beer market, UK sugar confectionary, and Italian cocoa powder market, we find significant parameters for the exchange rate transmission elasticity which indicate a 'pricing to market' behavior with similar estimates around -0.7. Thus, the use of market power by German exporters cannot be rejected for these products and destinations. Because the RDE model results do not indicate market power at all, both approaches partly result inconsistent conclusions, which further do not fit to the fact that the law of one price is significantly violated for all products. Even though markets obviously indicate to some extent market power, the applied model approaches do not consistently detect it. Therefore, the observed price discrimination must be caused by some other factors than the deviation of demand elasticities between international markets. The explicit consideration of competitors' behaviour on the international markets can be one factor that might be worthwhile to enhance the understanding of the pricing process on these markets.",,,,,2001-03-01,50,2,2001,,Articles,ART,,2,Thomas,Glauben,Jens-Peter,Loy,,,,,,,,,,,,,,,,,,,9_org.pdf,PDF,Article Text,en
,Estimating expenditure and price elasticities of food commodities using German cross-sectional household data,en_US,"This study presents a procedure to estimate expenditure and price elasticities of food commodities from cross-sectional data. There are two problems with the use of cross-sectional data: First, price-information is not sufficient in these data. To derive ""adjusted prices"" from cross-sectional data an approach of COX and WOHLGENANT is applied. Second, zero expenditures for some commodity groups can be observed. To avoid selectivity bias a generalization of the HECKMAN procedure is employed. Both, the adjusted prices and the bias correction are included in a Linear Expenditure System. It can be concluded that expenditure and price elasticities could differ significantly between household characteristics. The research results suggest that attempts to use only the mean elasticity coefficient as a description of consumer behaviour without regarding the variances between households might be not appropriate.",,,,,2001-03-01,50,2,2001,,Articles,ART,,3,Silke,Thiele,,,,,,,,,,,,,,,,,,,,,10_org.pdf,PDF,Article Text,en
,Landwirtschaft und Agrarpolitik in Deutschland und Frankreich: Auf der Suche nach neuen Wegen - Vorwort,de_DE,"Die Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2001-05-01,50,3,2001,,Articles,ART,,1,Roland,Herrmann,Dieter,Kirschke,Jürgen,Zeddies,,,,,,,,,,,,,,,,,12_org.pdf,PDF,Article Text,de
